timestamp,model,split_type,held_out,accuracy,eer,auroc,session_accuracy,session_auroc,n_sessions,false_accept_unauthorized,false_accept_none,identity_accuracy,n_train,n_test,notes
2026-09-24T03:54:00.667600+00:00,gmm_svm_wii,open_set_loo_stranger,divya,0.47892190739460955,0.5210789008620479,0.519358534575425,0.3870967741935484,0.47916666666666663,31,0.4039314218149571,0.608980044345898,0.6523006573306659,144759,33281,"leave-one-unauthorized-person-out, includes none"
2026-09-24T03:55:36.740331+00:00,gmm_svm_wii,open_set_loo_stranger,harshitha,0.45115912316669293,0.5488010447943406,0.4676593292262653,0.32142857142857145,0.390625,28,0.6094412331406551,0.5133037694013304,0.6523006573306659,146335,31705,"leave-one-unauthorized-person-out, includes none"
2026-09-24T03:57:09.046142+00:00,gmm_svm_wii,open_set_loo_stranger,kishore,0.4645139838179333,0.5354937719056976,0.5132608600367821,0.2916666666666667,0.5390625,24,0.03804347826086957,0.5659645232815964,0.6523006573306659,150973,27067,"leave-one-unauthorized-person-out, includes none"
2026-09-24T03:58:40.505463+00:00,gmm_svm_wii,open_set_loo_stranger,manas,0.47065855248858945,0.5293587421405763,0.5261916476750821,0.34615384615384615,0.575,26,0.06416131989000917,0.5856984478935698,0.6523006573306659,150434,27606,"leave-one-unauthorized-person-out, includes none"
2026-09-24T04:00:12.255312+00:00,gmm_svm_wii,open_set_loo_stranger,promoda,0.4657470500249294,0.5342502260375765,0.4964845986859743,0.2916666666666667,0.4375,24,0.44761904761904764,0.5685144124168514,0.6523006573306659,147955,30085,"leave-one-unauthorized-person-out, includes none"
2026-09-24T04:01:43.330592+00:00,gmm_svm_wii,open_set_loo_stranger,siva,0.46566911141414513,0.5343336586666537,0.5121737980928472,0.2916666666666667,0.5234375,24,0.03559870550161812,0.5685144124168514,0.6523006573306659,150907,27133,"leave-one-unauthorized-person-out, includes none"
2026-09-24T04:03:20.453931+00:00,gmm_svm_wii,open_set_loo_stranger,sumanth,0.46352301366228943,0.5364733295457451,0.49509029163081997,0.2857142857142857,0.453125,28,0.47486954133479814,0.5613082039911308,0.6523006573306659,147884,30156,"leave-one-unauthorized-person-out, includes none"
2026-09-24T04:04:50.657655+00:00,gmm_svm_wii,open_set_loo_stranger,vishwa,0.4766250453002998,0.5233692327532551,0.5245673063223495,0.3333333333333333,0.4609375,24,0.33350703491401773,0.6041019955654102,0.6523006573306659,147687,30353,"leave-one-unauthorized-person-out, includes none"
2026-09-24T04:05:57.150755+00:00,gmm_svm_wii,cross_day_loo,2026-09-15,0.3416961674619055,0.658305785351127,0.26067677425971136,0.29411764705882354,0.2571428571428571,34,0.32917789757412397,0.9279005524861879,0.6162972213549797,165046,12994,leave-one-day-out (cross-day generalization)
2026-09-24T04:07:02.695172+00:00,gmm_svm_wii,cross_day_loo,2026-09-16,0.1983261476033477,0.8017132306506571,0.13223059825177952,0.3333333333333333,0.39444444444444443,27,0.21661409043112514,0.9943365695792881,0.6762484774665043,158325,19715,leave-one-day-out (cross-day generalization)
2026-09-24T04:08:13.503991+00:00,gmm_svm_wii,cross_day_loo,2026-09-17,0.2710655372269282,0.7289944508159273,0.18338226818340023,0.45,0.33999999999999997,20,0.23526448362720404,0.8815645940470624,0.7355136864557412,166825,11215,leave-one-day-out (cross-day generalization)
2026-09-24T04:10:06.320977+00:00,gmm_svm_wii,cross_day_loo,2026-09-21,0.4937354988399072,0.506265082900125,0.4873144958800043,0.5,0.6770833333333333,20,0.40013140604467806,0.6007604562737643,0.6020910018868508,132785,45255,leave-one-day-out (cross-day generalization)
2026-09-24T04:12:06.384139+00:00,gmm_svm_wii,cross_day_loo,2026-09-22,0.41096769111308673,0.5890363193141621,0.33637379255465744,0.38095238095238093,0.3888888888888889,21,0.35688103965344886,0.6501491620601912,0.6386197192107199,89179,88861,leave-one-day-out (cross-day generalization)
2026-09-24T04:13:20.408417+00:00,gmm_svm_wii,session_disjoint_5fold,fold0,0.03627708470124754,nan,nan,0.0,nan,1,,0.9637229152987524,,141488,36552,session-disjoint 5-fold (all folds)
2026-09-24T04:14:46.456767+00:00,gmm_svm_wii,session_disjoint_5fold,fold1,0.4344792519985311,0.5655211488347995,0.45279635067620283,0.41935483870967744,0.4916666666666667,31,0.3821900298253089,0.6342866272567503,0.5396668316015174,142639,35401,session-disjoint 5-fold (all folds)
2026-09-24T04:16:18.021640+00:00,gmm_svm_wii,session_disjoint_5fold,fold2,0.4717141160837975,0.5282901654063048,0.48895060657757244,0.3103448275862069,0.5666666666666667,29,0.3908489525909592,0.6410256410256411,0.6302564635032707,142669,35371,session-disjoint 5-fold (all folds)
2026-09-24T04:18:05.534363+00:00,gmm_svm_wii,session_disjoint_5fold,fold3,0.5468811853192331,0.45311936224252514,0.6109423150060734,0.4827586206896552,0.5576923076923076,29,0.341700213118636,0.5977258758451137,0.5649127963942778,142674,35366,session-disjoint 5-fold (all folds)
2026-09-24T04:19:53.072889+00:00,gmm_svm_wii,session_disjoint_5fold,fold4,0.45855728429985854,0.5414423086379163,0.48236630775333683,0.40625,0.6547619047619048,32,0.4620138131588513,0.6068222621184919,0.6162148160939389,142690,35350,session-disjoint 5-fold (all folds)
