accuracy,balanced_accuracy,precision,recall,f1,confusion_matrix,held_out_date,model,n_test,labels,granularity
0.2111111111111111,0.42666666666666664,0.6739130434782609,0.10333333333333333,0.1791907514450867,"[[45, 15], [269, 31]]",2026-09-21,random_forest,360,shuffled_3,window
0.16666666666666666,0.5,0.0,0.0,0.0,"[[1, 0], [5, 0]]",2026-09-21,random_forest,6,shuffled_3,session
0.18611111111111112,0.505,0.8888888888888888,0.02666666666666667,0.05177993527508091,"[[59, 1], [292, 8]]",2026-09-21,cnn_lstm,360,shuffled_3,window
0.16666666666666666,0.5,0.0,0.0,0.0,"[[1, 0], [5, 0]]",2026-09-21,cnn_lstm,6,shuffled_3,session
0.4261904761904762,0.44375,0.3849056603773585,0.5666666666666667,0.4584269662921348,"[[77, 163], [78, 102]]",2026-09-22,svm,420,shuffled_3,window
0.5714285714285714,0.625,0.5,1.0,0.6666666666666666,"[[1, 3], [0, 3]]",2026-09-22,svm,7,shuffled_3,session
0.43333333333333335,0.4583333333333333,0.3986013986013986,0.6333333333333333,0.4892703862660944,"[[68, 172], [66, 114]]",2026-09-22,random_forest,420,shuffled_3,window
0.42857142857142855,0.5,0.42857142857142855,1.0,0.6,"[[0, 4], [0, 3]]",2026-09-22,random_forest,7,shuffled_3,session
0.42142857142857143,0.43472222222222223,0.37549407114624506,0.5277777777777778,0.4387990762124711,"[[82, 158], [85, 95]]",2026-09-22,cnn_lstm,420,shuffled_3,window
0.2857142857142857,0.25,0.0,0.0,0.0,"[[2, 2], [3, 0]]",2026-09-22,cnn_lstm,7,shuffled_3,session
0.32708333333333334,0.5013888888888889,0.25061425061425063,0.85,0.3870967741935484,"[[55, 305], [18, 102]]",2026-09-24,svm,480,shuffled_3,window
0.25,0.5,0.25,1.0,0.4,"[[0, 6], [0, 2]]",2026-09-24,svm,8,shuffled_3,session
0.325,0.5027777777777778,0.25121951219512195,0.8583333333333333,0.3886792452830189,"[[53, 307], [17, 103]]",2026-09-24,random_forest,480,shuffled_3,window
