timestamp,stage,task,preprocessing,model,split_type,fold,accuracy,eer,auroc,n_train,n_test,notes
2026-09-10T00:59:55.807075+00:00,2,taskC_openset_embedding,raw,whofi_transformer_embedding,leave_one_unauth_person_out,sumanth,,0.43573252160251374,0.5525517053381951,7748,1809,
2026-09-10T01:01:47.553675+00:00,2,taskC_openset_embedding,raw,whofi_transformer_embedding,leave_one_unauth_person_out,vasu,,0.3377934404742788,0.739192956415943,7741,1816,
2026-09-10T01:03:40.877054+00:00,2,taskC_openset_embedding,raw,whofi_transformer_embedding,leave_one_unauth_person_out,vishwa,,0.3828554595443834,0.6887894323396866,7752,1805,
2026-09-10T01:05:04.600795+00:00,1,taskD_auth_vs_nonauth,raw,random_forest,session_disjoint_kfold,0,0.45648657392429637,nan,nan,11843,3091,
2026-09-10T01:05:04.600795+00:00,1,taskD_auth_vs_nonauth,raw,random_forest,session_disjoint_kfold,1,0.6320289378493916,0.409018494447105,0.6969711067022417,11893,3041,
2026-09-10T01:05:04.600795+00:00,1,taskD_auth_vs_nonauth,raw,random_forest,session_disjoint_kfold,2,0.8439568094740508,0.1574564885405168,0.9163162632556318,12063,2871,
2026-09-10T01:05:04.600795+00:00,1,taskD_auth_vs_nonauth,raw,random_forest,session_disjoint_kfold,3,0.6878048780487804,0.3048313503164124,0.7874862307759254,12064,2870,
2026-09-10T01:05:04.600795+00:00,1,taskD_auth_vs_nonauth,raw,random_forest,session_disjoint_kfold,4,0.6912773603397583,0.3116434502878902,0.7651522198862615,11873,3061,
2026-09-10T01:05:04.600795+00:00,1,taskD_auth_vs_nonauth,raw,random_forest,session_disjoint_kfold,mean,0.6623109119272556,0.2957374458979811,0.7914814551550151,,,std=0.1247
2026-09-10T01:05:04.600795+00:00,1,taskD_auth_vs_nonauth,raw,random_forest,naive_random_LEAKY,0,0.8854655056932351,0.11215038027907745,0.9585534451841623,11948,2986,"leakage-prone, for comparison only"
2026-09-10T01:06:05.729596+00:00,1,taskD_auth_vs_nonauth,calibA,random_forest,session_disjoint_kfold,0,0.45778065351019087,nan,nan,11843,3091,
2026-09-10T01:06:05.729596+00:00,1,taskD_auth_vs_nonauth,calibA,random_forest,session_disjoint_kfold,1,0.633344294639921,0.41094136963809264,0.6964356571115824,11893,3041,
2026-09-10T01:06:05.729596+00:00,1,taskD_auth_vs_nonauth,calibA,random_forest,session_disjoint_kfold,2,0.8425635667014978,0.157565037423283,0.9159968264976516,12063,2871,
2026-09-10T01:06:05.729596+00:00,1,taskD_auth_vs_nonauth,calibA,random_forest,session_disjoint_kfold,3,0.6898954703832753,0.3076026009225069,0.7875473996991283,12064,2870,
2026-09-10T01:06:05.729596+00:00,1,taskD_auth_vs_nonauth,calibA,random_forest,session_disjoint_kfold,4,0.686703691604051,0.31613101993481163,0.7625182838396107,11873,3061,
2026-09-10T01:06:05.729596+00:00,1,taskD_auth_vs_nonauth,calibA,random_forest,session_disjoint_kfold,mean,0.6620575353677872,0.29806000697967355,0.7906245417869933,,,std=0.1237
2026-09-10T01:06:05.729596+00:00,1,taskD_auth_vs_nonauth,calibA,random_forest,naive_random_LEAKY,0,0.8854655056932351,0.11239668569779665,0.9585823010491169,11948,2986,"leakage-prone, for comparison only"
2026-09-10T01:36:03.185630+00:00,2,taskD_auth_vs_nonauth,raw,crossattn_transformer_fullcv,session_disjoint_kfold,1,0.632357777047024,0.3788043602198353,0.6983749515404438,11893,3041,false_accept_unauth=0.5746549560853199 false_accept_none=0.10009354536950421
2026-09-10T01:46:46.627522+00:00,2,taskD_auth_vs_nonauth,raw,crossattn_transformer_fullcv,session_disjoint_kfold,2,0.7168234064785789,0.28280635376105734,0.7975709889821643,12063,2871,false_accept_unauth=0.5495495495495496 false_accept_none=0.02280501710376283
2026-09-10T01:57:24.501726+00:00,2,taskD_auth_vs_nonauth,raw,crossattn_transformer_fullcv,session_disjoint_kfold,3,0.6714285714285714,0.39827061032163413,0.7393955217385899,12064,2870,false_accept_unauth=0.22122762148337596 false_accept_none=0.0
2026-09-10T02:07:29.264177+00:00,2,taskD_auth_vs_nonauth,raw,crossattn_transformer_fullcv,session_disjoint_kfold,4,0.6200588043123162,0.3763095481732108,0.7124037302133639,11873,3061,false_accept_unauth=0.6358897989575577 false_accept_none=0.0041753653444676405
2026-09-18T10:19:52.234857+00:00,bilstm_ch6,taskB_identity,hampel+butterworth+phasecal+timenorm+windowzscore,bilstm_dualbranch,same_day,0,0.2859744990892532,,,1097,1098,train=2026-09-15 test=2026-09-15 std=0.0000 epochs=1 seeds=[0]
2026-09-18T10:19:52.234857+00:00,bilstm_ch6,taskB_identity,hampel+butterworth+phasecal+timenorm+windowzscore,bilstm_dualbranch,same_day,1,0.2871467639015497,,,1098,1097,train=2026-09-15 test=2026-09-15 std=0.0000 epochs=1 seeds=[0]
2026-09-18T10:19:52.234857+00:00,bilstm_ch6,taskB_identity,hampel+butterworth+phasecal+timenorm+windowzscore,bilstm_dualbranch,same_day,0,0.5693430656934306,,,1097,1096,train=2026-09-16 test=2026-09-16 std=0.0000 epochs=1 seeds=[0]
2026-09-18T10:19:52.234857+00:00,bilstm_ch6,taskB_identity,hampel+butterworth+phasecal+timenorm+windowzscore,bilstm_dualbranch,same_day,1,0.7128532360984503,,,1096,1097,train=2026-09-16 test=2026-09-16 std=0.0000 epochs=1 seeds=[0]
2026-09-18T10:19:52.234857+00:00,bilstm_ch6,taskB_identity,hampel+butterworth+phasecal+timenorm+windowzscore,bilstm_dualbranch,same_day,0,0.4868421052631579,,,380,380,train=2026-09-17 test=2026-09-17 std=0.0000 epochs=1 seeds=[0]
2026-09-18T10:19:52.234857+00:00,bilstm_ch6,taskB_identity,hampel+butterworth+phasecal+timenorm+windowzscore,bilstm_dualbranch,same_day,1,0.2,,,380,380,train=2026-09-17 test=2026-09-17 std=0.0000 epochs=1 seeds=[0]
2026-09-18T10:19:52.234857+00:00,bilstm_ch6,taskB_identity,hampel+butterworth+phasecal+timenorm+windowzscore,bilstm_dualbranch,cross_day_pairwise,0,0.6725946192430461,,,2195,2193,train=2026-09-15 test=2026-09-16 std=0.0000 epochs=1 seeds=[0]
2026-09-18T10:19:52.234857+00:00,bilstm_ch6,taskB_identity,hampel+butterworth+phasecal+timenorm+windowzscore,bilstm_dualbranch,cross_day_pairwise,0,0.5355263157894737,,,2195,760,train=2026-09-15 test=2026-09-17 std=0.0000 epochs=1 seeds=[0]
2026-09-18T10:19:52.234857+00:00,bilstm_ch6,taskB_identity,hampel+butterworth+phasecal+timenorm+windowzscore,bilstm_dualbranch,cross_day_pairwise,0,0.49931662870159454,,,2193,2195,train=2026-09-16 test=2026-09-15 std=0.0000 epochs=1 seeds=[0]
2026-09-18T10:19:52.234857+00:00,bilstm_ch6,taskB_identity,hampel+butterworth+phasecal+timenorm+windowzscore,bilstm_dualbranch,cross_day_pairwise,0,0.4026315789473684,,,2193,760,train=2026-09-16 test=2026-09-17 std=0.0000 epochs=1 seeds=[0]
2026-09-18T10:19:52.234857+00:00,bilstm_ch6,taskB_identity,hampel+butterworth+phasecal+timenorm+windowzscore,bilstm_dualbranch,cross_day_pairwise,0,0.5006833712984055,,,760,2195,train=2026-09-17 test=2026-09-15 std=0.0000 epochs=1 seeds=[0]
